City,Rank,State,Pop,Coordinates
Marysville,552,Washington,63269,48.0517637
Perris,466,California,72326,33.7825194
Cleveland,48,Ohio,390113,41.49932
Worcester,129,Massachusetts,182544,42.2625932
Columbia,192,South Carolina,133358,34.0007104
Waterbury,253,Connecticut,109676,41.5581525
Eagan,529,Minnesota,65453,44.8041322
Southfield,459,Michigan,73006,42.4733688
Lafayette,214,Louisiana,124276,30.2240897
Boise City,98,Idaho,214237,43.6187102
Elkhart,721,Indiana,51265,41.6819935
Buena Park,386,California,82882,33.8675143
Marietta,608,Georgia,59089,33.952602
Parker,770,Colorado,48608,39.5186002
West Palm Beach,280,Florida,102436,26.7153424
Salem,866,Massachusetts,42544,42.51954
Aurora,114,Illinois,199963,41.7605849
Leesburg,783,Virginia,47673,39.1156615
Doral,738,Florida,50213,25.8195424
Westminster,331,California,91739,33.7513419
Lubbock,84,Texas,239538,33.5778631
Overland Park,132,Kansas,181260,38.9822282
Jackson,138,Mississippi,172638,32.2987573
Gastonia,457,North Carolina,73209,35.262082
Daytona Beach,559,Florida,62316,29.2108147
Kansas City,37,Missouri,467007,39.0997265
Noblesville,644,Indiana,56540,40.0455917
Southaven,724,Mississippi,50997,34.9889818
Chino,402,California,80988,34.0122346
Gaithersburg,526,Maryland,65690,39.1434406
Fountain Valley,640,California,56707,33.7091847
Frederick,514,Maryland,66893,39.4142688
Greenville,347,North Carolina,89130,35.612661
DeKalb,840,Illinois,43849,41.9294736
West Allis,582,Wisconsin,60697,43.0166806
Thornton,205,Colorado,127359,39.8680412
West Des Moines,574,Iowa,61255,41.5772115
Fall River,349,Massachusetts,88697,41.7014912
Tulare,576,California,61170,36.2077288
Chula Vista,75,California,256780,32.6400541
Coral Springs,208,Florida,126604,26.271192
Concord,383,North Carolina,83506,35.4087517
Smyrna,687,Georgia,53438,33.8839926
Apopka,815,Florida,45587,28.6934076
Grand Forks,665,North Dakota,54932,47.9252568
Lancaster,944,Ohio,39325,39.7136754
Naperville,176,Illinois,144864,41.7508391
Hollywood,174,Florida,146526,26.0112014
Rogers,591,Arkansas,60112,36.3320196
New Orleans,51,Louisiana,378715,29.9510658
Lakewood,607,Washington,59097,47.1717649
Oak Lawn,633,Illinois,57073,41.719978
Caldwell,763,Idaho,48957,43.6629384
Portland,29,Oregon,609456,45.5230622
Concord,211,California,125880,37.9779776
Burien,747,Washington,49858,47.4703767
St. Charles,507,Missouri,67569,38.7881062
Waukesha,475,Wisconsin,71016,43.0116784
Flagstaff,495,Arizona,68667,35.1982836
Puyallup,959,Washington,38609,47.1853785
Schenectady,525,New York,65902,42.8142432
Denver,22,Colorado,649495,39.7392358
Springfield,230,Illinois,117006,39.7817213
Campbell,908,California,40584,37.2871651
Moreno Valley,112,California,201175,33.9424658
Kettering,651,Ohio,55870,39.6895036
Lincoln Park,988,Michigan,37313,42.2505943
Lake Havasu City,695,Arizona,52844,34.483901
North Little Rock,524,Arkansas,66075,34.769536
Reno,90,Nevada,233294,39.5296329
Littleton,832,Colorado,44275,39.613321
