Zipcode,Total_POP,TMale,TMale21 ,TMale35,TMale65,TFemale21,TFemale35,TFemale65,TFemal
71937,1988,1014,0,56,19,0,49,61,974
72044,670,282,10,0,8,0,0,21,388
56171,1792,880,9,40,32,6,23,15,912
52585,1018,500,0,35,11,0,42,10,518
47520,2854,1430,12,68,57,26,51,89,1424
49464,28770,14157,235,772,195,169,1049,319,14613
49919,246,141,0,2,9,0,7,2,105
52401,2168,1348,40,113,8,0,52,12,820
35979,1608,841,0,42,0,0,30,49,767
36350,6628,3108,6,141,59,56,230,95,3520
38401,59009,27993,249,2034,581,371,1948,879,31016
55302,7093,3503,24,132,127,41,138,128,3590
29607,40940,19038,230,1110,224,386,1504,500,21902
31826,2238,1019,13,78,11,18,86,47,1219
18947,5996,3081,59,147,93,8,121,83,2915
14043,24420,12302,70,613,209,174,636,269,12118
15482,397,198,0,0,0,7,7,5,199
33446,24983,11885,75,287,539,28,343,382,13098
27915,665,401,0,0,0,0,0,0,264
26253,4401,2249,12,118,28,2,120,36,2152
2472,35387,16425,181,1385,523,221,1847,509,18962
623,42427,20286,283,1094,490,440,1550,465,22141
52163,308,150,2,12,2,0,5,5,158
52216,1192,598,3,14,10,0,21,12,594
53031,0,0,0,0,0,0,0,0,0
60651,63218,29134,459,1711,334,649,2514,768,34084
62090,1293,571,0,31,8,0,25,6,722
62420,4762,2325,28,125,59,5,188,114,2437
64503,12231,5810,16,370,131,74,271,180,6421
65325,3437,1692,13,124,10,0,47,79,1745
65638,495,232,0,7,6,12,5,16,263
74801,22194,10828,145,657,201,128,687,428,11366
75475,148,73,0,5,0,0,14,9,75
75757,12408,6377,147,412,93,207,506,290,6031
63436,1457,709,2,63,15,9,22,22,748
57440,622,292,2,8,4,20,18,11,330
72112,10966,5131,50,301,68,70,548,210,5835
72714,12954,6344,7,442,174,32,616,218,6610
99671,473,267,5,6,4,3,10,1,206
97304,31701,15843,329,957,519,301,1152,440,15858
97414,202,158,0,0,0,0,0,0,44
81148,312,148,10,3,1,6,9,2,164
81423,1751,894,0,68,13,0,35,19,857
81505,10298,5191,22,241,104,50,333,83,5107
81624,1408,775,21,50,14,2,45,21,633
82718,26340,13505,121,1215,183,210,1021,354,12835
89317,278,167,0,0,0,0,18,0,111
93234,7260,3584,53,209,64,33,243,123,3676
93529,508,328,0,0,54,0,0,0,180
94931,8601,3857,108,263,89,124,215,121,4744
95322,10546,5118,122,214,85,21,427,57,5428
30334,0,0,0,0,0,0,0,0,0
36879,1936,910,1,10,51,0,47,17,1026
38017,54372,26361,151,1475,873,148,1783,775,28011
46787,3732,1866,0,173,30,25,177,33,1866
31606,3543,1808,39,160,7,9,56,140,1735
55992,4911,2415,28,121,44,33,171,28,2496
13827,11315,5633,73,356,286,88,252,245,5682
14739,2746,1375,7,112,31,18,51,19,1371
15227,28633,13943,165,1085,265,129,967,543,14690
16877,2049,1019,10,57,15,14,60,45,1030
32621,5394,2639,36,97,81,0,107,92,2755
21634,200,101,0,0,5,0,0,0,99
35004,11762,5842,143,429,135,30,339,188,5920
27834,56458,26134,571,1603,622,801,2054,724,30324
28373,2602,1249,22,88,11,0,114,12,1353
11703,15952,7140,59,486,206,145,403,265,8812
2909,40572,20148,256,1606,251,499,1464,320,20424
4617,814,360,0,0,26,5,9,19,454
7961,0,0,0,0,0,0,0,0,0
767,34166,16549,208,1205,430,368,867,539,17617
36744,6487,2950,0,229,137,78,232,78,3537
37616,4606,2388,3,152,65,3,199,34,2218
50519,623,305,0,25,5,0,6,7,318
90038,27660,14742,289,1592,141,197,904,239,12918
90063,52951,26376,502,2519,488,403,1837,509,26575
84530,388,129,0,0,0,0,0,27,259
38138,24972,12042,113,682,264,83,953,495,12930
56517,244,116,0,1,0,0,7,0,128
58323,76,41,0,0,0,0,0,1,35
58533,1021,488,6,34,16,0,25,8,533
58771,603,323,0,6,4,0,0,17,280
58793,528,284,3,11,3,1,23,10,244
53189,26685,13327,154,1029,381,107,980,398,13358
56091,343,161,0,8,7,0,15,6,182
43733,0,0,0,0,0,0,0,0,0
47613,3156,1576,35,67,32,2,63,12,1580
51049,495,259,0,11,5,0,14,10,236
53014,7787,3972,34,208,140,26,241,112,3815
43334,6317,3371,30,222,152,2,162,15,2946
62206,15121,7106,11,646,114,307,951,265,8015
64155,22917,11259,168,982,229,76,646,202,11658
48215,11979,5827,77,213,116,49,354,197,6152
30531,10818,5343,20,313,120,65,410,172,5475
23176,331,121,0,0,0,0,0,64,210
16830,13371,6425,61,423,225,82,324,183,6946
16876,310,171,4,9,2,0,6,10,139
12442,785,341,0,24,0,17,0,18,444
13334,1121,629,4,60,9,0,80,23,492
13626,2245,1117,37,57,12,19,56,11,1128
24620,2594,1270,33,73,52,11,80,54,1324
25521,811,433,0,27,0,0,13,17,378
17866,10362,6340,93,451,130,26,195,224,4022
18466,17472,8576,197,464,225,147,660,254,8896
28039,86,42,0,0,0,0,0,11,44
28206,11919,5616,43,477,78,131,299,144,6303
28282,0,0,0,0,0,0,0,0,0
96778,15125,7681,111,454,229,107,472,387,7444
97538,1650,887,0,43,56,0,25,16,763
98520,24116,13171,134,975,305,81,767,293,10945
98579,13394,6625,94,343,194,10,507,283,6769
93701,10274,5069,107,254,65,86,408,61,5205
16601,32019,15947,141,889,367,259,1133,540,16072
17301,4315,2076,9,106,41,3,141,82,2239
32503,34520,16946,538,877,355,713,803,417,17574
36268,5814,2633,6,116,34,44,315,42,3181
24292,393,206,1,7,5,0,11,5,187
26267,298,154,16,16,10,0,13,0,144
27341,5263,2753,104,124,54,0,154,65,2510
8887,1004,422,0,23,7,0,50,34,582
71423,4335,2324,76,68,19,30,114,47,2011
48226,6935,3980,129,368,55,22,223,63,2955
48503,25903,12034,189,598,147,267,694,315,13869
49756,3464,1769,4,39,95,13,78,66,1695
50675,2315,1157,4,28,39,16,68,13,1158
78650,1672,808,0,43,22,13,52,31,864
83121,0,0,0,0,0,0,0,0,0
93255,556,241,0,0,0,0,0,16,315
75010,28974,14249,169,938,266,86,1011,421,14725
76054,12119,5804,80,329,235,80,358,186,6315
68743,581,313,0,5,8,0,10,7,268
85268,24812,11585,26,555,536,16,417,627,13227
45841,818,456,0,19,11,2,23,21,362
65047,1372,622,0,53,24,0,88,42,750
67954,770,369,4,20,6,2,12,6,401
68792,385,176,0,3,4,1,7,6,209
75961,15644,7277,407,437,109,623,519,202,8367
76452,108,71,0,12,10,0,0,0,37
80235,8742,4349,81,400,57,7,231,98,4393
80620,19407,9806,103,607,103,86,587,135,9601
81001,30764,15842,207,864,204,289,974,350,14922
83401,43012,21326,352,1404,357,139,1522,392,21686
57481,464,312,0,3,0,0,2,0,152
58723,254,159,2,0,4,0,3,11,95
78349,603,301,12,33,4,0,0,0,302
79381,1601,793,9,66,15,0,69,25,808
63626,1629,912,0,0,0,0,0,0,717
23486,39,16,0,0,0,0,0,0,23
24069,2087,1024,43,72,25,14,22,30,1063
15773,537,262,0,5,16,0,3,0,275
16665,294,156,0,9,0,0,32,1,138
16927,586,323,0,10,16,0,4,5,263
30746,940,467,0,0,14,0,49,33,473
32830,5,5,0,0,0,0,0,0,0
33756,33649,15843,190,1050,607,368,957,357,17806
20868,864,381,25,39,29,15,15,0,483
21849,3299,1677,0,45,20,0,120,9,1622
17570,206,130,0,32,0,0,17,0,76
18456,350,180,0,2,5,0,14,3,170
18834,3505,1753,31,51,61,13,122,36,1752
19134,61509,29598,240,2595,464,446,1910,600,31911
29164,5190,2683,16,74,75,27,222,64,2507
54020,6898,3274,38,216,82,35,263,129,3624
55125,43438,20797,325,1388,327,290,1466,684,22641
56039,970,476,1,32,11,2,23,14,494
39154,10347,5207,175,234,94,81,244,173,5140
8817,44823,22689,193,2193,365,203,1665,753,22134
10965,15517,7481,158,317,85,126,393,171,8036
12151,792,376,0,17,8,3,18,28,416
12195,121,31,0,0,8,0,0,0,90
18216,1038,506,9,43,13,0,21,16,532
2169,56584,26826,225,1967,619,157,2279,880,29758
2375,10218,4797,22,220,90,53,251,127,5421
2639,3160,1629,19,72,27,0,92,85,1531
77590,31498,15039,333,910,278,188,1066,295,16459
78013,6143,3201,82,171,88,185,137,65,2942
68832,2203,1124,7,30,39,0,62,24,1079
62611,1115,580,0,27,14,0,27,18,535
70005,25200,12130,214,674,402,163,788,329,13070
71048,54,30,0,0,5,0,0,1,24
26865,257,193,0,29,0,0,0,13,64
28007,714,333,0,0,0,11,38,20,381
54964,979,475,3,18,22,4,6,15,504
56011,9311,4543,45,378,60,29,427,106,4768
50167,697,313,7,18,0,1,53,18,384
80202,13756,7770,113,705,103,137,274,199,5986
84305,788,435,7,20,3,2,28,2,353
85382,39556,18581,251,1192,352,437,1139,774,20975
93465,8914,4225,38,160,77,0,184,173,4689
95383,3828,2103,2,88,89,15,206,145,1725
95665,4664,2392,10,91,94,0,323,137,2272
