Name,Location,coordinates,lat,lon,Zipcode,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,
Acadia,Maine,44.35°N 68.21°W,44.35,-68.21,46039,26-Feb-19,"49,076.63 acres (198.6 km2)","49,076.63",198.6,"3,537,575","Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[12][13]",
American Samoa,American Samoa,14.25°S 170.68°W,14.25,-170.68,46340,31-Oct-88,"8,256.67 acres (33.4 km2)","8,256.67",33.4,"28,626","The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[14]",
Arches,Utah,38.68°N 109.57°W,38.68,-109.57,44562,12-Nov-71,"76,678.98 acres (310.3 km2)","76,678.98",310.3,"1,663,557","This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[15] Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[16]",
Badlands,South Dakota,43.75°N 102.50°W,43.75,-102.5,63814,10-Nov-78,"242,755.94 acres (982.4 km2)","242,755.94",982.4,"1,008,942","The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[17] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[18]",
Big Bend,Texas,29.25°N 103.25°W,29.25,-103.25,95263,12-Jun-44,"801,163.21 acres (3,242.2 km2)","801,163.21","3,242.20","440,091","Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[19] (BR)[20]",
Biscayne,Florida,25.65°N 80.08°W,25.65,-80.08,27335,28-Jun-80,"172,971.11 acres (700.0 km2)","172,971.11",700,"469,253","Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[21]",
Black Canyon of the Gunnison,Colorado,38.57°N 107.72°W,38.57,-107.72,47353,21-Oct-99,"30,779.83 acres (124.6 km2)","30,779.83",124.6,"308,962","The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.[22]",
Bryce Canyon,Utah,37.57°N 112.18°W,37.57,-112.18,13653,25-Feb-28,"35,835.08 acres (145.0 km2)","35,835.08",145,"2,679,478","Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[23]",
Canyonlands,Utah,38.2°N 109.93°W,38.2,-109.93,26743,12-Sep-64,"337,597.83 acres (1,366.2 km2)","337,597.83","1,366.20","739,449","This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[24]",
Capitol Reef,Utah,38.20°N 111.17°W,38.2,-111.17,26543,18-Dec-71,"241,904.50 acres (979.0 km2)","241,904.50",979,"1,227,627","The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[25]",
Carlsbad Caverns,New Mexico,32.17°N 104.44°W,32.17,-104.44,28453,14-May-30,"46,766.45 acres (189.3 km2)","46,766.45",189.3,"465,912","Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[26] (WHS)[27]",
Channel Islands,California,34.01°N 119.42°W,34.01,-119.42,19536,5-Mar-80,"249,561.00 acres (1,009.9 km2)","249,561.00","1,009.90","366,250","Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[28] (BR)[29]",
Congaree,South Carolina,33.78°N 80.78°W,33.78,-80.78,37759,10-Nov-03,"26,476.47 acres (107.1 km2)","26,476.47",107.1,"145,929","On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[30] (BR)[31]",
Crater Lake,Oregon,42.94°N 122.1°W,42.94,-122.1,92463,22-May-02,"183,224.05 acres (741.5 km2)","183,224.05",741.5,"720,659","Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, the lake is replenished only by precipitation.[32]",
Cuyahoga Valley,Ohio,41.24°N 81.55°W,41.24,-81.55,97623,11-Oct-00,"32,571.88 acres (131.8 km2)","32,571.88",131.8,"2,096,053","This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[33] and also offers a scenic train ride.[34]",
Death Valley,"California, Nevada",36.24°N 116.82°W,36.24,-116.82,92634,31-Oct-94,"3,408,406.73 acres (13,793.3 km2)","3,408,406.73","13,793.30","1,678,660","Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats located at the lowest elevation in North America, −282 ft (−86 m).[35] The park also protects canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1000 species of plants which grow in this geologic graben.[36] (BR)[37]",
Denali,Alaska,63.33°N 150.50°W,63.33,-150.5,37229,26-Feb-17,"4,740,911.16 acres (19,185.8 km2)","4,740,911.16","19,185.80","594,660","Centered on Denali, the tallest and highest prominence mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, Porcupine caribou, and wolves.[38] (BR)[39]",
Dry Tortugas,Florida,24.63°N 82.87°W,24.63,-82.87,27149,26-Oct-92,"64,701.22 acres (261.8 km2)","64,701.22",261.8,"56,810","The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[40] (BR)[41]",
Everglades,Florida,25.32°N 80.93°W,25.32,-80.93,93475,30-May-34,"1,508,938.57 acres (6,106.5 km2)","1,508,938.57","6,106.50","597,124","The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[42] (WHS)[43] (BR)[41]",
Gates of the Arctic,Alaska,67.78°N 153.30°W,67.78,-153.3,29243,2-Dec-80,"7,523,897.45 acres (30,448.1 km2)","7,523,897.45","30,448.10","9,591","The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[44]",
Gateway Arch,Missouri,38.63°N 90.19°W,38.63,-90.19,38728,"February 22, 2018[45]",192.83 acres (0.8 km2),192.83,0.8,"2,016,180","The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the first site of the Dred Scott case about slavery. A museum, located in the underground visitor center below the arch, describes the arch's construction and the country's westward expansion.[46]",
Glacier,Montana,48.80°N 114.00°W,48.8,-114,25326,11-May-10,"1,013,125.99 acres (4,100.0 km2)","1,013,125.99","4,100.00","2,965,309","The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers.[47] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs.[48] (WHS)[49] (BR)[50]",
Glacier Bay,Alaska,58.50°N 137.00°W,58.5,-137,53326,2-Dec-80,"3,223,383.43 acres (13,044.6 km2)","3,223,383.43","13,044.60","597,915","Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[51] (WHS)[52] (BR)[53]",
