,NP Name,trail_id,name,trail_type,summary,difficulty,stars,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium,"length, miles","ascent, ft","descent, ft","high, ft","low, ft",latitude,longitude,conditionStatus,conditionDetails,conditionDate
0,Acadia,7019232,Precipice Loop,Recommended Route,An adventurous loop with brilliant views using one of the most exhilarating trails in the park.,black,4.7,32,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7019232/precipice-loop,https://cdn2.apstatic.com/photos/hike/7017558_sqsmall_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_small_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_smallMed_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_medium_1554829595.jpg,2.3,1072,-1071,1042,127,44.3495,-68.188,Unknown,,1970-01-01 00:00:00
1,Acadia,7019354,Dorr Mountain Ladder Trail Loop,Recommended Route,"An exciting loop up the  Dorr Mountain Ladder Trail, down the ridge, returning up through The Gorge.",black,4.8,16,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7019354/dorr-mountain-ladder-trail-loop,https://cdn2.apstatic.com/photos/hike/7018336_sqsmall_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_small_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_smallMed_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_medium_1554830699.jpg,3.4,1142,-1142,1248,114,44.3519,-68.2046,Unknown,,1970-01-01 00:00:00
2,Acadia,7093565,Gorham Mountain Loop,Recommended Route,,missing,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7093565/gorham-mountain-loop,https://cdn2.apstatic.com/photos/hike/7006727_sqsmall_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_small_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_smallMed_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_medium_1554321346.jpg,3.6,757,-768,522,37,44.3305,-68.1846,Unknown,,1970-01-01 00:00:00
3,Acadia,7019235,Gorham Mountain Loop,Recommended Route,A short but challenging tour that passes a number of the must-see gems and views in the park.,blueBlack,4.7,44,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7019235/gorham-mountain-loop,https://cdn2.apstatic.com/photos/hike/7006727_sqsmall_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_small_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_smallMed_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_medium_1554321346.jpg,3.6,774,-781,522,37,44.3305,-68.1846,All Clear,Dry,2020-06-09 13:04:33
4,Acadia,7007506,Great Head Trail,Recommended Route,A great trail to escape the crowds at Sand Beach and explore the rocky coastline.,blue,4.6,50,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007506/great-head-trail,https://cdn2.apstatic.com/photos/hike/7014036_sqsmall_1554823699.jpg,https://cdn2.apstatic.com/photos/hike/7014036_small_1554823699.jpg,https://cdn2.apstatic.com/photos/hike/7014036_smallMed_1554823699.jpg,https://cdn2.apstatic.com/photos/hike/7014036_medium_1554823699.jpg,1.5,232,-235,145,35,44.3297,-68.1805,Unknown,,1970-01-01 00:00:00
5,Acadia,7039413,Cadillac Mountain Summit Loop,Recommended Route,Enjoy a scenic loop hike to the summit of Cadillac Mountain and back again.,black,4.4,14,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7039413/cadillac-mountain-summit-loop,https://cdn2.apstatic.com/photos/hike/7014956_sqsmall_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_small_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_smallMed_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_medium_1554825601.jpg,4.9,1324,-1327,1515,203,44.3727,-68.2217,Unknown,,1970-01-01 00:00:00
6,Acadia,7007397,Bubble Rock,Recommended Route,A short path that splits Acadia’s iconic “Bubbles” and has the easiest access to famed Bubble Rock.,blueBlack,4.3,30,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007397/bubble-rock,https://cdn2.apstatic.com/photos/hike/7014368_sqsmall_1554824202.jpg,https://cdn2.apstatic.com/photos/hike/7014368_small_1554824202.jpg,https://cdn2.apstatic.com/photos/hike/7014368_smallMed_1554824202.jpg,https://cdn2.apstatic.com/photos/hike/7014368_medium_1554824202.jpg,1.2,288,-288,749,471,44.3411,-68.2505,Unknown,,1970-01-01 00:00:00
7,Acadia,7007380,Bar Island Trail,Recommended Route,A unique trail that leads to incredible views of Bar Harbor.,greenBlue,4.1,29,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007380/bar-island-trail,https://cdn2.apstatic.com/photos/hike/7014410_sqsmall_1554824252.jpg,https://cdn2.apstatic.com/photos/hike/7014410_small_1554824252.jpg,https://cdn2.apstatic.com/photos/hike/7014410_smallMed_1554824252.jpg,https://cdn2.apstatic.com/photos/hike/7014410_medium_1554824252.jpg,1.5,132,-132,135,3,44.3921,-68.2101,Unknown,,1970-01-01 00:00:00
8,Acadia,7019233,Cadillac Mountain Point-to-Point,Recommended Route,This shuttle-hike features a north to south route up and over the famous Cadillac Mountain.,blue,4.7,15,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7019233/cadillac-mountain-point-to-point,https://cdn2.apstatic.com/photos/hike/7014956_sqsmall_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_small_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_smallMed_1554825601.jpg,https://cdn2.apstatic.com/photos/hike/7014956_medium_1554825601.jpg,5.5,1196,-1420,1515,184,44.3785,-68.2295,Unknown,,1970-01-01 00:00:00
9,Acadia,7009590,Eagle Lake Carriage Road,Recommended Route,One of Acadia's famed Carriage Roads. The best example of brokenstone roads in the U.S. today.,greenBlue,4.2,12,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7009590/eagle-lake-carriage-road,https://cdn2.apstatic.com/photos/hike/7002231_sqsmall_1554225552.jpg,https://cdn2.apstatic.com/photos/hike/7002231_small_1554225552.jpg,https://cdn2.apstatic.com/photos/hike/7002231_smallMed_1554225552.jpg,https://cdn2.apstatic.com/photos/hike/7002231_medium_1554225552.jpg,6.1,299,-295,470,276,44.3776,-68.2533,Unknown,,1970-01-01 00:00:00
