,Name,Location,coordinates,lat,lon,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,national park full name,State,Park Designation,Park Code,postalCode,list of postal codes,count_of_postCodes,total population
0,Acadia,Maine,44.35°N 68.21°W,44.35,-68.21,26-Feb-19,"49,076.63 acres (198.6 km2)","49,076.63",198.6,3537575,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[12][13]",Acadia National Park,ME,National Park,acad,04609,"['04065', '04401', '04402', '04408', '04410', '04411', '04412', '04413', '04414', '04415', '04416', '04417', '04418', '04419', '04420', '04421', '04422', '04423', '04427', '04428', '04429', '04431', '04435', '04438', '04444', '04448', '04449', '04450', '04451', '04453', '04454', '04455', '04456', '04457', '04459', '04461', '04463', '04467', '04468', '04469', '04472', '04473', '04474', '04475', '04476', '04487', '04488', '04489', '04490', '04491', '04492', '04493', '04495', '04496', '04600', '04605', '04606', '04607', '04609', '04611', '04612', '04613', '04614', '04615', '04616', '04617', '04622', '04623', '04624', '04625', '04627', '04629', '04634', '04635', '04637', '04640', '04642', '04643', '04644', '04645', '04646', '04648', '04649', '04650', '04653', '04654', '04655', '04656', '04658', '04660', '04662', '04664', '04665', '04668', '04669', '04672', '04673', '04674', '04675', '04676', '04677', '04679', '04680', '04681', '04683', '04684', '04685', '04686', '04690', '04693', '04694', '04782', '04840', '04841', '04842', '04843', '04846', '04848', '04849', '04851', '04853', '04854', '04856', '04858', '04863', '04865', '04915', '04921', '04932', '04933', '04951', '04974', '04981']",133,254337.0
1,Arches,Utah,38.68°N 109.57°W,38.68,-109.57,12-Nov-71,"76,678.98 acres (310.3 km2)","76,678.98",310.3,1663557,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[15] Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[16]",Arches National Park,UT,National Park,arch,84532,"['81320', '81324', '81325', '81327', '81331', '81335', '81411', '81422', '81429', '81521', '81522', '81523', '81524', '81525', '84252', '84511', '84515', '84520', '84525', '84530', '84532', '84533', '84535', '84540']",24,43879.0
2,Badlands,South Dakota,43.75°N 102.50°W,43.75,-102.5,10-Nov-78,"242,755.94 acres (982.4 km2)","242,755.94",982.4,1008942,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[17] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[18]",Badlands National Park,SD,National Park,badl,57750,"['57521', '57537', '57543', '57547', '57551', '57552', '57553', '57560', '57567', '57574', '57577', '57622', '57714', '57716', '57725', '57729', '57736', '57737', '57748', '57750', '57752', '57756', '57761', '57764', '57767', '57770', '57772', '57775', '57777', '57780', '57787', '57790', '57791', '57792', '57794', '57796', '69211', '69218', '69219', '69343', '69347', '69360', '69365']",43,34304.0
3,Big Bend,Texas,29.25°N 103.25°W,29.25,-103.25,12-Jun-44,"801,163.21 acres (3,242.2 km2)","801,163.21","3,242.20",440091,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[19] (BR)[20]",Big Bend National Park,TX,National Park,bibe,79834,"['79830', '79831', '79832', '79834', '79842', '79848', '79852', '79870']",8,10018.0
4,Biscayne,Florida,25.65°N 80.08°W,25.65,-80.08,28-Jun-80,"172,971.11 acres (700.0 km2)","172,971.11",700,469253,"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[21]",Biscayne National Park,FL,National Park,bisc,33033,"['33001', '33002', '33003', '33004', '33008', '33009', '33010', '33011', '33012', '33013', '33014', '33015', '33016', '33017', '33018', '33019', '33020', '33021', '33022', '33023', '33024', '33025', '33026', '33027', '33028', '33029', '33030', '33031', '33032', '33033', '33034', '33035', '33036', '33037', '33039', '33047', '33050', '33051', '33052', '33054', '33055', '33056', '33058', '33060', '33061', '33062', '33063', '33064', '33065', '33066', '33067', '33068', '33069', '33070', '33071', '33072', '33073', '33074', '33075', '33076', '33077', '33081', '33082', '33083', '33084', '33090', '33092', '33093', '33097', '33101', '33102', '33107', '33109', '33110', '33111', '33114', '33116', '33119', '33121', '33122', '33124', '33125', '33126', '33127', '33128', '33129', '33130', '33131', '33132', '33133', '33134', '33135', '33136', '33137', '33138', '33139', '33140', '33141', '33142', '33143', '33144', '33145', '33146', '33147', '33148', '33149', '33150', '33151', '33152', '33153', '33154', '33155', '33156', '33157', '33158', '33159', '33160', '33161', '33162', '33163', '33164', '33165', '33166', '33167', '33168', '33169', '33170', '33172', '33173', '33174', '33175', '33176', '33177', '33178', '33179', '33180', '33181', '33182', '33183', '33184', '33185', '33186', '33187', '33188', '33189', '33190', '33192', '33193', '33194', '33195', '33196', '33197', '33199', '33201', '33231', '33233', '33234', '33238', '33239', '33242', '33243', '33245', '33247', '33255', '33256', '33257', '33261', '33265', '33266', '33269', '33280', '33283', '33296', '33299', '33301', '33302', '33303', '33304', '33305', '33306', '33307', '33308', '33309', '33310', '33311', '33312', '33313', '33314', '33315', '33316', '33317', '33318', '33319', '33320', '33321', '33322', '33323', '33324', '33325', '33326', '33327', '33328', '33329', '33330', '33331', '33332', '33334', '33335', '33337', '33338', '33339', '33340', '33345', '33346', '33348', '33349', '33351', '33352', '33355', '33359', '33388', '33394', '33401', '33402', '33405', '33406', '33409', '33413', '33414', '33415', '33416', '33419', '33420', '33421', '33422', '33424', '33425', '33426', '33427', '33428', '33429', '33430', '33431', '33432', '33433', '33434', '33435', '33436', '33437', '33439', '33441', '33442', '33443', '33444', '33445', '33446', '33447', '33448', '33452', '33454', '33459', '33460', '33461', '33462', '33463', '33464', '33465', '33466', '33467', '33468', '33474', '33481', '33482', '33483', '33484', '33486', '33487', '33488', '33493', '33496', '33497', '33498', '33499', '33515', '34141']",285,5634519.0
5,Black Canyon of The Gunnison,Colorado,38.57°N 107.72°W,38.57,-107.72,21-Oct-99,"30,779.83 acres (124.6 km2)","30,779.83",124.6,308962,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.[22]",Black Canyon Of The Gunnison National Park,CO,National Park,blca,81401,"['81122', '81127', '81147', '81157', '81220', '81235', '81243', '81247', '81260', '81301', '81302', '81303', '81310', '81321', '81323', '81327', '81328', '81330', '81332', '81401', '81402', '81410', '81413', '81414', '81415', '81416', '81418', '81419', '81420', '81421', '81422', '81423', '81424', '81425', '81426', '81427', '81428', '81430', '81431', '81432', '81433', '81434', '81435', '81501', '81502', '81503', '81504', '81505', '81506', '81520', '81521', '81526', '81527', '81601', '81602', '81623', '81624', '81628', '81630', '81635', '81636', '81643', '81646', '81647', '81650', '81652']",66,354456.0
6,Bryce Canyon,Utah,37.57°N 112.18°W,37.57,-112.18,25-Feb-28,"35,835.08 acres (145.0 km2)","35,835.08",145,2679478,"Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[23]",Bryce Canyon National Park,UT,National Park,brca,84764,"['84637', '84657', '84701', '84710', '84711', '84712', '84713', '84715', '84717', '84718', '84719', '84723', '84724', '84726', '84729', '84730', '84731', '84732', '84735', '84736', '84739', '84740', '84741', '84743', '84744', '84747', '84749', '84750', '84752', '84754', '84755', '84758', '84759', '84760', '84761', '84762', '84763', '84764', '84766', '84767', '84772', '84773', '84776', '84784', '84947', '86021', '86022', '86036', '86040', '86052']",50,65540.0
7,Canyonlands,Utah,38.2°N 109.93°W,38.2,-109.93,12-Sep-64,"337,597.83 acres (1,366.2 km2)","337,597.83","1,366.20",739449,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[24]",Canyonlands National Park,UT,National Park,cany,84532,"['81320', '81324', '81325', '81327', '81331', '81335', '81411', '81422', '81429', '81521', '81522', '81523', '81524', '81525', '84252', '84511', '84515', '84520', '84525', '84530', '84532', '84533', '84535', '84540']",24,43879.0
8,Capitol Reef,Utah,38.20°N 111.17°W,38.2,-111.17,18-Dec-71,"241,904.50 acres (979.0 km2)","241,904.50",979,1227627,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[25]",Capitol Reef National Park,UT,National Park,care,84775,"['84252', '84513', '84516', '84518', '84521', '84522', '84523', '84525', '84528', '84537', '84542', '84621', '84622', '84623', '84627', '84630', '84634', '84642', '84643', '84646', '84647', '84654', '84662', '84665', '84667', '84715', '84716', '84726', '84734', '84747', '84749', '84773', '84775', '84947']",34,44126.0
9,Carlsbad Caverns,New Mexico,32.17°N 104.44°W,32.17,-104.44,14-May-30,"46,766.45 acres (189.3 km2)","46,766.45",189.3,465912,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[26] (WHS)[27]",Carlsbad Caverns National Park,NM,National Park,cave,88220,"['79754', '79770', '79772', '79785', '79786', '79841', '88201', '88202', '88203', '88210', '88211', '88213', '88220', '88221', '88230', '88232', '88244', '88250', '88253', '88254', '88255', '88256', '88260', '88263', '88264', '88267', '88268', '88343', '88351', '88603']",30,153563.0
