,Name,Location,coordinates,lat,lon,Date established as park[5][10],Area (2019)[11],"area, acres","area, km^2",Recreation visitors (2018)[8],Description
0,Acadia,Maine,44.35°N 68.21°W,44.35,68.21,26-Feb-19,"49,076.63 acres (198.6 km2)","49,076.63",198.6,"3,537,575","Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[12][13]"
1,American Samoa,American Samoa,14.25°S 170.68°W,-14.25,170.68,31-Oct-88,"8,256.67 acres (33.4 km2)","8,256.67",33.4,"28,626","The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[14]"
2,Arches,Utah,38.68°N 109.57°W,38.68,109.57,12-Nov-71,"76,678.98 acres (310.3 km2)","76,678.98",310.3,"1,663,557","This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[15] Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[16]"
3,Badlands,South Dakota,43.75°N 102.50°W,43.75,102.50,10-Nov-78,"242,755.94 acres (982.4 km2)","242,755.94",982.4,"1,008,942","The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[17] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[18]"
4,Big Bend,Texas,29.25°N 103.25°W,29.25,103.25,12-Jun-44,"801,163.21 acres (3,242.2 km2)","801,163.21","3,242.2","440,091","Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[19] (BR)[20]"
5,Biscayne,Florida,25.65°N 80.08°W,25.65,80.08,28-Jun-80,"172,971.11 acres (700.0 km2)","172,971.11",700.0,"469,253","Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[21]"
6,Black Canyon of the Gunnison,Colorado,38.57°N 107.72°W,38.57,107.72,21-Oct-99,"30,779.83 acres (124.6 km2)","30,779.83",124.6,"308,962","The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.[22]"
7,Bryce Canyon,Utah,37.57°N 112.18°W,37.57,112.18,25-Feb-28,"35,835.08 acres (145.0 km2)","35,835.08",145.0,"2,679,478","Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[23]"
8,Canyonlands,Utah,38.2°N 109.93°W,38.2,109.93,12-Sep-64,"337,597.83 acres (1,366.2 km2)","337,597.83","1,366.2","739,449","This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[24]"
9,Capitol Reef,Utah,38.20°N 111.17°W,38.20,111.17,18-Dec-71,"241,904.50 acres (979.0 km2)","241,904.50",979.0,"1,227,627","The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[25]"
