State,Park Designation,national park full name,Park Code
AK,National Park & Preserve,Denali National Park & Preserve,dena
AK,National Park & Preserve,Gates Of The Arctic National Park & Preserve,gaar
AK,National Park & Preserve,Glacier Bay National Park & Preserve,glba
AK,National Park & Preserve,Katmai National Park & Preserve,katm
AK,National Park,Kenai Fjords National Park,kefj
AK,National Park,Kobuk Valley National Park,kova
AK,National Park & Preserve,Lake Clark National Park & Preserve,lacl
AK,National Park & Preserve,Wrangell - St Elias National Park & Preserve,wrst
AZ,National Park,Grand Canyon National Park,grca
AZ,National Park,Petrified Forest National Park,pefo
AZ,National Park,Saguaro National Park,sagu
AR,National Park,Hot Springs National Park,hosp
CA,National Park,Channel Islands National Park,chis
CA,National Park,Death Valley National Park,deva
CA,National Park,Joshua Tree National Park,jotr
CA,National Park,Lassen Volcanic National Park,lavo
CA,National Park,Pinnacles National Park,pinn
CA,National and State Parks,Redwood National and State Parks,redw
CA,National Parks,Sequoia & Kings Canyon National Parks,seki
CA,National Park,Yosemite National Park,yose
CO,National Park,Black Canyon Of The Gunnison National Park,blca
CO,National Park & Preserve,Great Sand Dunes National Park & Preserve,grsa
CO,National Park,Mesa Verde National Park,meve
CO,National Park,Rocky Mountain National Park,romo
FL,National Park,Biscayne National Park,bisc
FL,National Park,Dry Tortugas National Park,drto
FL,National Park,Everglades National Park,ever
HI,National Park,Haleakal&#257; National Park,hale
HI,National Park,Hawai'i Volcanoes National Park,havo
ID,National Park,Yellowstone National Park,yell
IN,National Park,Indiana Dunes National Park,indu
KY,National Park,Mammoth Cave National Park,maca
ME,National Park,Acadia National Park,acad
MI,National Park,Isle Royale National Park,isro
MN,National Park,Voyageurs National Park,voya
MO,National Park,Gateway Arch National Park,jeff
MT,National Park,Glacier National Park,glac
MT,National Park,Yellowstone National Park,yell
NV,National Park,Death Valley National Park,deva
NV,National Park,Great Basin National Park,grba
NM,National Park,Carlsbad Caverns National Park,cave
NM,National Park,White Sands National Park,whsa
NC,National Park,Great Smoky Mountains National Park,grsm
ND,National Park,Theodore Roosevelt National Park,thro
OH,National Park,Cuyahoga Valley National Park,cuva
OR,National Park,Crater Lake National Park,crla
SC,National Park,Congaree National Park,cong
SD,National Park,Badlands National Park,badl
SD,National Park,Wind Cave National Park,wica
TN,National Park,Great Smoky Mountains National Park,grsm
TX,National Park,Big Bend National Park,bibe
TX,National Park,Guadalupe Mountains National Park,gumo
UT,National Park,Arches National Park,arch
UT,National Park,Bryce Canyon National Park,brca
UT,National Park,Canyonlands National Park,cany
UT,National Park,Capitol Reef National Park,care
UT,National Park,Zion National Park,zion
VA,National Park,Shenandoah National Park,shen
WA,National Park,Mount Rainier National Park,mora
WA,National Park,North Cascades National Park,noca
WA,National Park,Olympic National Park,olym
WY,National Park,Grand Teton National Park,grte
WY,National Park,Yellowstone National Park,yell
